Reading,Receive,Value,Unit,Data Quality
2025-08-31 13:19:16,2025-08-31 13:19:25,0.00,in,A
2025-08-31 01:19:16,2025-08-31 01:19:20,0.00,in,A
2025-08-30 13:19:16,2025-08-30 13:19:25,0.00,in,A
2025-08-30 03:50:07,2025-08-30 03:51:20,0.04,in,A
2025-08-30 01:19:16,2025-08-30 01:19:20,0.00,in,A
2025-08-29 17:53:29,2025-08-29 17:55:25,0.04,in,A
2025-08-29 13:19:16,2025-08-29 13:19:20,0.00,in,A
2025-08-29 01:19:16,2025-08-29 01:19:20,0.00,in,A
2025-08-28 13:19:16,2025-08-28 13:19:20,0.00,in,A
2025-08-28 01:19:17,2025-08-28 01:19:20,0.00,in,A
2025-08-27 19:41:59,2025-08-27 19:43:20,0.04,in,A
2025-08-27 19:26:33,2025-08-27 19:27:20,0.04,in,A
2025-08-27 19:07:32,2025-08-27 19:09:20,0.04,in,A
2025-08-27 18:58:58,2025-08-27 18:59:20,0.04,in,A
2025-08-27 18:47:49,2025-08-27 18:49:20,0.04,in,A
2025-08-27 18:43:02,2025-08-27 18:43:20,0.04,in,A
2025-08-27 18:36:18,2025-08-27 18:37:25,0.04,in,A
2025-08-27 18:32:44,2025-08-27 18:33:25,0.04,in,A
2025-08-27 18:30:44,2025-08-27 18:31:20,0.04,in,A
2025-08-27 18:30:00,2025-08-27 18:31:20,0.04,in,A
2025-08-27 18:28:28,2025-08-27 18:31:20,0.04,in,A
2025-08-27 13:17:16,2025-08-27 13:17:25,0.00,in,A
2025-08-27 01:17:16,2025-08-27 01:17:20,0.00,in,A
2025-08-26 13:17:16,2025-08-26 13:17:20,0.00,in,A
2025-08-26 01:17:16,2025-08-26 01:17:20,0.00,in,A
2025-08-25 22:39:52,2025-08-25 22:41:20,0.04,in,A
2025-08-25 22:00:11,2025-08-25 22:01:20,0.04,in,A
2025-08-25 21:46:19,2025-08-25 21:47:20,0.04,in,A
2025-08-25 21:26:01,2025-08-25 21:27:20,0.04,in,A
2025-08-25 21:15:21,2025-08-25 21:17:20,0.04,in,A
2025-08-25 13:17:16,2025-08-25 13:17:25,0.00,in,A
2025-08-25 01:17:16,2025-08-25 01:17:20,0.00,in,A
2025-08-24 18:08:35,2025-08-24 18:09:20,0.04,in,A
2025-08-24 17:57:43,2025-08-24 17:59:20,0.04,in,A
