Reading,Receive,Value,Unit,Data Quality
2025-08-31 15:19:16,2025-08-31 15:21:21,72.6,F,A
2025-08-31 14:19:16,2025-08-31 14:19:25,71.3,F,A
2025-08-31 13:19:16,2025-08-31 13:19:25,70.0,F,A
2025-08-31 12:19:16,2025-08-31 12:19:25,68.1,F,A
2025-08-31 11:19:16,2025-08-31 11:21:20,66.3,F,A
2025-08-31 10:19:16,2025-08-31 10:19:25,65.0,F,A
2025-08-31 09:19:17,2025-08-31 09:19:20,64.0,F,A
2025-08-31 08:19:16,2025-08-31 08:19:20,64.0,F,A
2025-08-31 05:19:16,2025-08-31 05:19:20,65.3,F,A
2025-08-31 04:19:16,2025-08-31 04:19:20,65.8,F,A
2025-08-31 01:19:16,2025-08-31 01:19:20,67.2,F,A
2025-08-30 23:19:16,2025-08-30 23:19:20,68.5,F,A
2025-08-30 21:19:16,2025-08-30 21:19:25,70.2,F,A
2025-08-30 20:19:16,2025-08-30 20:19:20,71.3,F,A
2025-08-30 17:19:16,2025-08-30 17:19:20,73.0,F,A
2025-08-30 14:19:16,2025-08-30 14:19:20,71.9,F,A
2025-08-30 13:19:16,2025-08-30 13:19:25,70.7,F,A
2025-08-30 12:19:17,2025-08-30 12:19:20,69.5,F,A
2025-08-30 10:19:16,2025-08-30 10:19:20,67.9,F,A
2025-08-30 09:19:16,2025-08-30 09:19:20,66.8,F,A
2025-08-30 05:19:16,2025-08-30 05:19:20,66.9,F,A
2025-08-30 01:19:16,2025-08-30 01:19:20,67.8,F,A
2025-08-30 00:19:16,2025-08-30 00:19:20,68.0,F,A
2025-08-29 21:19:16,2025-08-29 21:19:20,69.1,F,A
2025-08-29 20:19:16,2025-08-29 20:19:25,70.5,F,A
2025-08-29 17:19:16,2025-08-29 17:19:20,72.0,F,A
2025-08-29 16:19:16,2025-08-29 16:19:20,72.6,F,A
2025-08-29 14:19:16,2025-08-29 14:19:25,71.3,F,A
2025-08-29 13:19:16,2025-08-29 13:19:20,70.0,F,A
2025-08-29 12:19:16,2025-08-29 12:19:20,69.2,F,A
2025-08-29 10:19:16,2025-08-29 10:19:20,66.8,F,A
2025-08-29 09:19:16,2025-08-29 09:19:20,65.7,F,A
2025-08-29 05:19:16,2025-08-29 05:19:20,66.3,F,A
2025-08-29 04:19:16,2025-08-29 04:19:20,66.6,F,A
2025-08-29 01:19:16,2025-08-29 01:19:20,68.0,F,A
2025-08-28 23:19:16,2025-08-28 23:19:25,69.4,F,A
2025-08-28 21:19:16,2025-08-28 21:19:20,70.9,F,A
2025-08-28 19:19:16,2025-08-28 19:19:25,71.8,F,A
2025-08-28 18:19:16,2025-08-28 18:19:20,73.8,F,A
2025-08-28 17:19:16,2025-08-28 17:19:25,71.7,F,A
